Date,Close,Open,High,Low,Volume,Change_pct
2018-10-02,32711.65,32762.34,32815.19,32695.45,184.59,-0.0017
2018-09-28,32766.37,32763.35,32817.46,32661.14,184.53,0.0001
2018-09-27,32763.35,32963.27,32983.99,32684.66,154.28,-0.0061
2018-09-26,32963.27,33114.44,33202.30,32952.70,172.19,-0.0046
2018-09-25,33114.44,32646.43,33230.46,32646.43,222.95,0.0204
2018-09-24,32451.27,32540.17,32577.92,32427.54,190.46,-0.0027
2018-09-21,32540.17,32480.89,32784.33,32475.85,330.38,0.0018
2018-09-20,32480.89,32375.12,32480.89,32330.18,225.93,0.0033
2018-09-19,32375.12,32350.90,32392.93,32269.75,190.02,-0.0002
2018-09-18,32381.00,32201.98,32381.00,32180.72,269.81,0.0056
2018-09-17,32201.98,32327.59,32378.72,32201.98,160.67,-0.0039
2018-09-14,32327.59,32022.04,32446.48,32022.04,251.69,0.0095
2018-09-13,32022.23,32292.79,32321.64,31938.59,173.47,-0.0084
2018-09-12,32292.79,33449.17,33449.64,32269.65,246.88,-0.0346
2018-09-11,33449.17,33607.01,33609.86,33114.12,150.67,-0.0048
2018-09-10,33611.69,34014.49,34014.49,33594.44,137.63,-0.0125
2018-09-07,34037.91,34110.22,34177.85,33667.34,155.95,-0.0021
2018-09-06,34110.22,34414.37,34438.13,34087.26,164.49,-0.0088
2018-09-05,34414.37,34933.68,34963.29,34146.21,200.27,-0.0171
2018-09-04,35013.05,34837.94,34966.72,34837.94,240.46,0.0050
2018-09-03,34837.50,34848.55,34860.32,33849.14,131.53,-0.0003
2018-08-31,34848.45,35086.67,35086.67,34113.89,384.89,-0.0068
2018-08-30,35086.67,35354.26,35400.04,34942.23,284.59,-0.0077
2018-08-29,35358.94,35516.21,35560.31,35358.94,345.05,-0.0044
2018-08-28,35516.21,35311.36,35516.21,35309.85,339.68,0.0058
2018-08-27,35311.36,35426.17,35499.66,34643.30,178.81,-0.0032
2018-08-24,35426.17,35206.16,35679.05,35199.87,527.74,0.0062
2018-08-23,35206.16,34663.48,35206.16,34481.47,220.71,-0.0038
2018-08-20,35341.90,35266.29,35425.17,34900.34,220.50,0.0021
2018-08-17,35266.29,34618.43,35469.05,34579.35,244.32,0.0187
2018-08-16,34618.43,35069.34,35069.34,34603.07,237.81,-0.0129
2018-08-15,35069.34,35288.23,35300.21,35061.28,209.52,-0.0062
2018-08-14,35288.23,35410.61,35434.60,35156.29,164.51,-0.0035
2018-08-13,35410.61,35446.47,35474.15,35351.76,160.42,-0.0010
2018-08-10,35446.47,36232.66,36232.66,35435.28,192.99,-0.0217
2018-08-09,36232.66,36299.82,36366.26,36153.15,188.26,-0.0019
2018-08-08,36299.82,36333.80,36336.04,36295.55,113.93,-0.0009
2018-08-07,36333.80,36479.42,36491.19,36321.50,248.01,-0.0040
2018-08-06,36479.42,36499.67,36620.48,36399.42,182.28,-0.0006
2018-08-03,36499.67,36688.91,36750.29,36478.10,266.20,-0.0052
2018-08-02,36688.91,36612.83,36708.03,36510.88,225.81,0.0021
2018-08-01,36612.83,37017.78,37023.18,36573.19,240.02,-0.0109
2018-07-31,37017.78,36937.73,37017.78,36713.99,244.95,0.0019
2018-07-30,36946.18,36636.97,36946.18,36636.97,319.40,0.0084
2018-07-27,36636.97,36427.22,36643.40,36427.22,311.35,0.0058
2018-07-26,36427.22,36346.80,36678.29,36316.30,171.00,0.0022
2018-07-25,36346.80,36455.24,36474.12,36339.41,329.84,-0.0030
